name,state,region,category,abbreviation
Instituto Federal do Acre,Acre,Norte,0,IFAC
Universidade Federal do Acre,Acre,Norte,0,UFAC
Faculdade Diocesana São José,Acre,Norte,1,FADISI
Escola Superior Aberta do Brasil,Acre,Norte,1,ESAB
Instituto de Ensino Superior Brasileiro,Acre,Norte,1,ESB
Faculdade da Amazônia Ocidental,Acre,Norte,1,FAAO
Universidade Estadual de Alagoas,Alagoas,Nordeste,0,UNEAL
Universidade Estadual de Ciências da Saúde de Alagoas,Alagoas,Nordeste,0,UNCIASAL
Instituto Federal de Alagoas,Alagoas,Nordeste,0,IFAL
Universidade Federal de Alagoas,Alagoas,Nordeste,0,UFAL
Centro de Estudos Superiores de Maceió,Alagoas,Nordeste,1,CESMAC
Associação de Ensino Superior de Alagoas,Alagoas,Nordeste,1,FAA & IESA
Faculdade da Cidade de Maceió,Alagoas,Nordeste,1,FACIMA
Faculdade Pitágoras,Alagoas,Nordeste,1,FAP
Faculdade Integrada Tiradentes,Alagoas,Nordeste,1,FITS
Universidade Estadual do Amapá,Amapá,Norte,0,UEAP
Instituto Federal do Amapá,Amapá,Norte,0,IFAP
Universidade Federal do Amapá,Amapá,Norte,0,UNIFAP
Centro de Ensino Superior do Amapá,Amapá,Norte,1,CEAP
Faculdade Brasil Norte,Amapá,Norte,1,FABRAN
Faculdade do Amapá,Amapá,Norte,1,FAMA
Faculdade de Ensino Superior da Amazônia,Amapá,Norte,1,FESAN
Instituto de Ensino Superior do Amapá,Amapá,Norte,1,IESAP
Instituto Macapaense do Melhor Ensino Superior,Amapá,Norte,1,IMMES
Faculdade Meta,Amapá,Norte,1,META
Universidade do Estado do Amazonas,Amazonas,Norte,0,UEA
Instituto Federal do Amazonas,Amazonas,Norte,0,IFAM
Universidade Federal do Amazonas,Amazonas,Norte,0,UFAM
Instituto Nacional de Pesquisas da Amazônia,Amazonas,Norte,0,INPA
Universidade Luterana do Brasil-AM,Amazonas,Norte,1,ULBRA-AM
Faculdade Salesiana Dom Bosco,Amazonas,Norte,1,FSDB
Centro Universitário de Ensino Superior do Amazonas,Amazonas,Norte,1,Ciesa
Universidade Nilton Lins,Amazonas,Norte,1,UNINILTONLINS
Instituto de Ensino Superior Fucapi,Amazonas,Norte,1,Cesf
